Country,Year,Gender,Metric,Value
Dominican Republic,2015,Male,Labour Force Participation Rate,75.94
Dominican Republic,2015,Female,Part Time Employment,37.32
Dominican Republic,2015,Male,Part Time Employment,26.92
Dominican Republic,2015,Female,Vulnerable Employment,29.91954163
Dominican Republic,2015,Male,Vulnerable Employment,47.84135887
Ecuador,2015,Female,Employment to population ratio,49.544
Ecuador,2015,Male,Employment to population ratio,77.247
Ecuador,2015,Female,Labour Force Participation Rate,51.889
Ecuador,2015,Male,Labour Force Participation Rate,79.655
Ecuador,2015,Female,Vulnerable Employment,51.75491853
Ecuador,2015,Male,Vulnerable Employment,35.09547578
"Egypt, Arab Rep.",2015,Female,Employment to population ratio,17.15
"Egypt, Arab Rep.",2015,Male,Employment to population ratio,64.222
"Egypt, Arab Rep.",2015,Female,Labour Force Participation Rate,22.779
"Egypt, Arab Rep.",2015,Male,Labour Force Participation Rate,70.848
"Egypt, Arab Rep.",2015,Female,Part Time Employment,9.92
"Egypt, Arab Rep.",2015,Male,Part Time Employment,5.98
"Egypt, Arab Rep.",2015,Female,Vulnerable Employment,46.05755266
"Egypt, Arab Rep.",2015,Male,Vulnerable Employment,20.043597
El Salvador,2015,Female,Employment to population ratio,43.442
El Salvador,2015,Male,Employment to population ratio,71.268
El Salvador,2015,Female,Labour Force Participation Rate,45.004
El Salvador,2015,Male,Labour Force Participation Rate,74.526
El Salvador,2015,Female,Part Time Employment,26.42
El Salvador,2015,Male,Part Time Employment,20.93
El Salvador,2015,Female,Vulnerable Employment,44.19146462
El Salvador,2015,Male,Vulnerable Employment,30.19952682
Equatorial Guinea,2015,Female,Employment to population ratio,46.344
Equatorial Guinea,2015,Male,Employment to population ratio,55.378
Equatorial Guinea,2015,Female,Labour Force Participation Rate,51.093
Equatorial Guinea,2015,Male,Labour Force Participation Rate,59.787
Equatorial Guinea,2015,Female,Vulnerable Employment,85.07486388
Equatorial Guinea,2015,Male,Vulnerable Employment,67.25223947
Eritrea,2015,Female,Employment to population ratio,66.614
Eritrea,2015,Male,Employment to population ratio,81.76
Eritrea,2015,Female,Labour Force Participation Rate,71.513
Eritrea,2015,Male,Labour Force Participation Rate,86.272
Eritrea,2015,Female,Vulnerable Employment,80.8887342
Eritrea,2015,Male,Vulnerable Employment,61.87038767
Estonia,2015,Female,Employment to population ratio,52.369
Estonia,2015,Male,Employment to population ratio,64.906
Estonia,2015,Female,Labour Force Participation Rate,55.791
Estonia,2015,Male,Labour Force Participation Rate,69.229
Estonia,2015,Female,Part Time Employment,33.1
Estonia,2015,Male,Part Time Employment,22.98
Estonia,2015,Female,Vulnerable Employment,3.57232012
Estonia,2015,Male,Vulnerable Employment,7.065049092
Eswatini,2015,Female,Employment to population ratio,34.992
Eswatini,2015,Male,Employment to population ratio,44.004
Eswatini,2015,Female,Labour Force Participation Rate,46.778
Eswatini,2015,Male,Labour Force Participation Rate,56.099
Eswatini,2015,Female,Vulnerable Employment,40.15812881
Eswatini,2015,Male,Vulnerable Employment,26.82790207
Ethiopia,2015,Female,Employment to population ratio,71.971
Ethiopia,2015,Male,Employment to population ratio,86.099
Ethiopia,2015,Female,Labour Force Participation Rate,74.343
Ethiopia,2015,Male,Labour Force Participation Rate,87.626
Ethiopia,2015,Female,Vulnerable Employment,89.96263958
Ethiopia,2015,Male,Vulnerable Employment,84.51906312
Fiji,2015,Female,Employment to population ratio,37.771
Fiji,2015,Male,Employment to population ratio,73.515
Fiji,2015,Female,Labour Force Participation Rate,39.885
Fiji,2015,Male,Labour Force Participation Rate,76.397
Fiji,2015,Female,Vulnerable Employment,37.14920234
Fiji,2015,Male,Vulnerable Employment,38.12701675
Finland,2015,Female,Employment to population ratio,50.676
Finland,2015,Male,Employment to population ratio,56.215
Finland,2015,Female,Labour Force Participation Rate,55.591
Finland,2015,Male,Labour Force Participation Rate,62.38
Finland,2015,Female,Part Time Employment,49.38
